,Type,Year built,Heating,Cooling,Parking,HOA,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,neighborhood_stats,URL
228,Single Family,1969,No Data,Central,2 spaces,,"10,140 sqft",,"$461,053","3423 Maple Leaf Dr, Glenview, IL 60026","1,353", No, 3, 3,,,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 22.1% lower (↓) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/3423-Maple-Leaf-Dr-Glenview-IL-60026/3344659_zpid/
229,Single Family,1954,No Data,No Data,2 spaces,,"10,150 sqft",,"$450,418","1122 Washington St, Glenview, IL 60025","1,434", No, 3, 2,,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 2.5% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1122-Washington-St-Glenview-IL-60025/3354895_zpid/
230,Townhouse,1972,No Data,No Data,No Data,$354/month,0.65 acres,,"$486,495","1809 Wildberry Dr UNIT 31-G, Glenview, IL 60025",, No, 3, 3,,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 5.3% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1809-Wildberry-Dr-UNIT-31-G-Glenview-IL-60025/3345196_zpid/
231,Single Family,1964,No Data,No Data,No Data,,"8,712 sqft",,"$343,212","2602 Harrison St, Glenview, IL 60025","1,234", No, 3, 1,,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 25.7% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2602-Harrison-St-Glenview-IL-60025/3471668_zpid/
232,Single Family,1983,No Data,Central,2 spaces,$43/month,0.4 acres,,"$708,792","2337 Iroquois Dr, Glenview, IL 60026","3,609", No, 5, 4,,,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 19.8% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2337-Iroquois-Dr-Glenview-IL-60026/3342782_zpid/
233,Single Family,1979,Forced air,Central,2 spaces,,0.57 acres,$347,"$1,399,000","1800 Ridgewood Ln W, Glenview, IL 60025","4,032", No, 5, 6, 5, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 202.7% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1800-Ridgewood-Ln-W-Glenview-IL-60025/3346796_zpid/
234,Single Family,1943,No Data,No Data,1 space,,0.34 Acres,$194,"$310,000","3614 Central Rd, Glenview, IL 60025","1,600", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 32.9% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/3614-Central-Rd-Glenview-IL-60025/3352910_zpid/
235,Single Family,2005,Forced air,Central,3 spaces,,0.78 acres,$200,"$1,175,000","3050 Landwehr Rd, Northbrook, IL 60062","5,885", No, 6, 6, 5, 1,"Home values in 60062 have fallen 1.7 % (↓) over the past 12 months.Zillow predicts the home values in 60062 will fall 1.7% (↓) in the next year.This home is valued 123.4% higher (↑) than the median home in 60062.The median Zestimate® for this neighborhood is $525,989.",https://www.zillow.com/homedetails/3050-Landwehr-Rd-Northbrook-IL-60062/121075093_zpid/
236,Townhouse,2005,"Forced air, Gas",Central,2 spaces,,11.55 Acres,$226,"$725,000","1823 Admiral Ct #113, Glenview, IL 60026","3,210", No, 3, 4, 2, 2,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 22.5% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1823-Admiral-Ct-113-Glenview-IL-60026/80837414_zpid/
237,Single Family,1956,Gas,Central,2 spaces,,"10,018 sqft",$231,"$279,000","4701 Locust Ave, Glenview, IL 60025","1,206", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 39.6% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/4701-Locust-Ave-Glenview-IL-60025/3350145_zpid/
238,Single Family,1970,Forced air,Central,2 spaces,,"10,659 sqft",$246,"$525,000","2426 Briarford Ln, Northbrook, IL 60062","2,138", No, 4, 3, 2, 1,"Home values in 60062 have fallen 1.7 % (↓) over the past 12 months.Zillow predicts the home values in 60062 will decrease 1.7% (↓) in the next year.This home is valued 0.2% lower (↓) than the median home in 60062.The median Zestimate® for this neighborhood is $525,989.",https://www.zillow.com/homedetails/2426-Briarford-Ln-Northbrook-IL-60062/3343054_zpid/
239,Single Family,1960,Gas,Central,2 spaces,,0.25 acres,,"$413,833","3817 Rugen Rd, Glenview, IL 60025","1,561", No, 4, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 10.5% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/3817-Rugen-Rd-Glenview-IL-60025/3350517_zpid/
240,Single Family,2012,No Data,"Geothermal, Other",3 spaces,None,1.14 acres,$632,"$3,595,000","1111 Normandy Ln, Glenview, IL 60025","5,686", No, 5, 8, 5, 3,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 677.8% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1111-Normandy-Ln-Glenview-IL-60025/3356510_zpid/
241,Single Family,1956,"Forced air, Gas",Central,2 spaces,,0.59 Acres,$363,"$1,199,000","414 N Branch Rd, Glenview, IL 60025","3,300", No, 5, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 159.4% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/414-N-Branch-Rd-Glenview-IL-60025/3513509_zpid/
242,Single Family,1958,Forced air,Central,2 spaces,,"9,796 sqft",,"$416,298","439 Sheryl Ln, Glenview, IL 60025","1,350", No, 3, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 9.9% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/439-Sheryl-Ln-Glenview-IL-60025/3470463_zpid/
243,Single Family,2005,Forced air,Central,3 spaces,None,0.34 acres,$237,"$975,000","110 Washington Rd, Glenview, IL 60025","4,114", No, 4, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 110.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/110-Washington-Rd-Glenview-IL-60025/80829109_zpid/
244,Multi Family,1991,Other,Central,No Data,,,,"$504,148","10217 Dearlove Rd, Glenview, IL 60025","5,626", No, 10,,,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 9.1% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/10217-Dearlove-Rd-Glenview-IL-60025/3350677_zpid/
245,Single Family,1949,No Data,No Data,2 spaces,,0.46 acres,,"$727,359","1419 Glenview Rd, Glenview, IL 60025","2,321", No, 5, 3,,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 57.4% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1419-Glenview-Rd-Glenview-IL-60025/3355994_zpid/
246,Single Family,1987,Forced air,Central,2 spaces,,0.30 Acres,$303,"$995,000","1414 Glenwood Ave, Glenview, IL 60025","3,289", No, 4, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 115.3% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1414-Glenwood-Ave-Glenview-IL-60025/3348241_zpid/
247,Townhouse,2019,Forced air,Central,2 spaces,$197/month,No Data,$234,"$495,000","1239 Waukegan Rd, Glenview, IL 60025","2,113", No, 3, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 7.1% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1239-Waukegan-Rd-Glenview-IL-60025/2084992748_zpid/
248,Single Family,1958,No Data,No Data,1 space,,"8,416 sqft",,"$351,514","139 Julie Dr, Glenview, IL 60025","1,555", No, 3, 2,,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 23.9% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/139-Julie-Dr-Glenview-IL-60025/3472007_zpid/
249,Single Family,2020,"Forced air, Gas",Central,3 spaces,,0.51 Acres,$332,"$2,849,900","601 Chatham Rd, Glenview, IL 60025","8,579", Yes, 6, 8, 6, 2,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 516.6% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/601-Chatham-Rd-Glenview-IL-60025/3356397_zpid/
250,Townhouse,1987,"Forced air, Gas",Central,2 spaces,,"3,689 sqft",$214,"$399,900","940 Washington St, Glenview, IL 60025","1,873", No, 3, 4, 2, 2,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 13.5% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/940-Washington-St-Glenview-IL-60025/3355423_zpid/
251,Single Family,1992,Forced air,Central,2 spaces,$580/month,"2,304 sqft",$184,"$539,900","1471 Ammer Rd, Glenview, IL 60025","2,930", No, 3, 4, 2, 2,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 16.8% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1471-Ammer-Rd-Glenview-IL-60025/3347858_zpid/
252,Single Family,2004,Forced air,Central,2 spaces,,"9,962 sqft",$291,"$949,000","1740 Stevens Dr, Glenview, IL 60025","3,259", No, 5, 5, 4, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 105.3% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1740-Stevens-Dr-Glenview-IL-60025/3355067_zpid/
253,Single Family,1959,Other,Central,1 space,$11/month,"8,276 sqft",No Data,"$265,522","3435 Greenbriar Dr, Glenview, IL 60025","1,060", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 42.6% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/3435-Greenbriar-Dr-Glenview-IL-60025/3470116_zpid/
254,Single Family,1973,Gas,Central,3 spaces,,0.32 Acres,$223,"$775,000","2436 Pfingsten Rd, Glenview, IL 60026","3,470", No, 5, 4, 4,,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 31% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2436-Pfingsten-Rd-Glenview-IL-60026/3343124_zpid/
255,Single Family,1985,Forced air,Central,3 spaces,None,0.58 acres,$243,"$939,000","1610 Elmdale Ave, Glenview, IL 60026","3,870", No, 6, 5, 4, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 58.7% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1610-Elmdale-Ave-Glenview-IL-60026/3348931_zpid/
256,Single Family,2008,Forced air,Central,3 spaces,$10/month,0.35 acres,$263,"$1,398,000","930 Glenayre Dr, Glenview, IL 60025","5,321", No, 6, 7, 6, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 202.5% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/930-Glenayre-Dr-Glenview-IL-60025/3356547_zpid/
257,Single Family,2000,Gas,Central,2 spaces,,"8,712 sqft",$218,"$850,000","1315 Hollywood Ave, Glenview, IL 60025","3,891", No, 5, 6, 5, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 83.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1315-Hollywood-Ave-Glenview-IL-60025/3348496_zpid/
258,Single Family,1976,"Forced air, Gas",Central,6 spaces,,14.71 Acres,$275,"$384,913","1460 Estate Ln, Glenview, IL 60025","1,400", No, 2, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 16.7% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1460-Estate-Ln-Glenview-IL-60025/3348913_zpid/
259,Townhouse,1996,"Electric, Gas",Central,2 spaces,,"2,948 sqft",$261,"$529,900","2103 Trowbridge Ct, Glenview, IL 60026","2,032", No, 2, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 10.4% lower (↓) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2103-Trowbridge-Ct-Glenview-IL-60026/3348791_zpid/
260,Single Family,1959,Baseboard,No Data,4 spaces,,0.25 acres,$233,"$334,000","2915 Linneman St, Glenview, IL 60025","1,432", No, 3, 2, 1, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 27.7% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/2915-Linneman-St-Glenview-IL-60025/3353160_zpid/
261,Single Family,2002,Forced air,Central,2 spaces,$31/month,"3,314 sqft",$317,"$634,900","2206 Goldenrod Ln, Glenview, IL 60026","2,006", No, 3, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 7.3% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/2206-Goldenrod-Ln-Glenview-IL-60026/60199287_zpid/
262,Single Family,2009,Gas,Central,13 spaces,,0.32 acres,$225,"$1,350,000","3725 Countryside Ln, Glenview, IL 60025","6,000", No, 6, 7, 6, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 192.1% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/3725-Countryside-Ln-Glenview-IL-60025/101238765_zpid/
263,Multiple Occupancy,1961,Gas,No Data,9 spaces,,,,"$734,500","1909 Dewes St, Glenview, IL 60025",, No, 4, 4, 4,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 58.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1909-Dewes-St-Glenview-IL-60025/2077608889_zpid/
264,Single Family,1957,"Electric, Gas",Central,1 space,,"8,838 sqft",$491,"$625,000","1446 Huntington Dr, Glenview, IL 60025","1,273", No, 3, 6, 3, 3,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 35.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1446-Huntington-Dr-Glenview-IL-60025/3348424_zpid/
265,Single Family,No Data,No Data,No Data,2 spaces,,No Data,$331,"$874,990","Buildable plan: The Napa, Parkside of Glenview, Glenview, IL 60026",, Yes, 3, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 47.9% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/community/parkside-of-glenview/2077622607_zpid/
266,Single Family,2020,No Data,No Data,2 spaces,,No Data,$289,"$1,019,990","Buildable plan: The Burgundy, Parkside of Glenview, Glenview, IL 60026",, Yes, 3, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 72.4% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/community/parkside-of-glenview/2077622608_zpid/
267,Single Family,2005,"Forced air, Gas",Central,3 spaces,,0.28 Acres,$261,"$1,225,000","1601 Cabot Ln, Glenview, IL 60026","4,700", No, 5, 4, 3, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 107% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1601-Cabot-Ln-Glenview-IL-60026/70452931_zpid/
268,Single Family,2001,"Forced air, Gas",Central,2 spaces,,"10,001 sqft",$291,"$1,195,000","1318 Bennington Ct, Glenview, IL 60026","4,105", No, 4, 5, 4, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 102% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/1318-Bennington-Ct-Glenview-IL-60026/60259840_zpid/
269,Townhouse,1979,Forced air,Central,2 spaces,$180/month,0.31 acres,$135,"$265,000","1770 Henley St APT B, Glenview, IL 60025","1,968", No, 2, 2, 1, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 42.7% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1770-Henley-St-APT-B-Glenview-IL-60025/3355548_zpid/
270,Condo,1981,"Forced air, Gas",Central,2 spaces,$388/mo,,,"$249,900","1577 Winnetka Rd #1577, Glenview, IL 60025",, No, 3, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 45.9% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1577-Winnetka-Rd-1577-Glenview-IL-60025/2077644471_zpid/
271,Single Family,1958,"Baseboard, Forced air",Central,2 spaces,,0.57 acres,$246,"$424,913","3611 Countryside Ln, Glenview, IL 60025","1,726", No, 4, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 8.1% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/3611-Countryside-Ln-Glenview-IL-60025/3352803_zpid/
272,Single Family,1999,"Forced air, Gas",Central,2 spaces,,"7,579 sqft",$232,"$779,000","1820 Dunhill Cir, Glenview, IL 60025","3,351", No, 3, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 68.5% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1820-Dunhill-Cir-Glenview-IL-60025/54529988_zpid/
273,Single Family,1958,"Forced air, Gas",Central,2 spaces,,"6,233 sqft",$275,"$467,900","34 Ardmore Ave, Glenview, IL 60025","1,700", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 1.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/34-Ardmore-Ave-Glenview-IL-60025/3370476_zpid/
274,Single Family,2000,Forced air,Central,2 spaces,None,0.4 acres,$234,"$625,000","601 Glenwood Ln, Glenview, IL 60025","2,675", No, 3, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 35.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/601-Glenwood-Ln-Glenview-IL-60025/65538029_zpid/
275,Single Family,1951,Forced air,Central,6 spaces,,0.27 acres,$213,"$334,900","3221 Springdale Ave, Glenview, IL 60025","1,573", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 27.5% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/3221-Springdale-Ave-Glenview-IL-60025/3352447_zpid/
276,Single Family,1965,Forced air,Central,2 spaces,None,"10,236 sqft",$152,"$377,400","912 E Glenwood Rd, Glenview, IL 60025","2,478", No, 3, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 18.3% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/912-E-Glenwood-Rd-Glenview-IL-60025/3369796_zpid/
277,Single Family,2020,No Data,No Data,2 spaces,,No Data,$331,"$899,990","Buildable plan: The Bordeaux, Parkside of Glenview, Glenview, IL 60026",, Yes, 2, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will fall 2.8% (↓) in the next year.This home is valued 52.1% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/community/parkside-of-glenview/2077622606_zpid/
278,Condo,1979,Electric,Central,3 spaces,$525/mo,,$149,"$239,000","600 Naples Ct APT 501, Glenview, IL 60025","1,600", No, 3, 2, 2,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 48.3% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/600-Naples-Ct-APT-501-Glenview-IL-60025/3351666_zpid/
279,Single Family,No Data,No Data,No Data,2 spaces,,No Data,$320,"$959,990","Buildable plan: The Sonoma, Parkside of Glenview, Glenview, IL 60026",, Yes, 3, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 62.2% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/community/parkside-of-glenview/2077622605_zpid/
280,Single Family,2019,"Forced air, Gas",Central,2 spaces,,No Data,$267,"$865,000","1032 Ironwood Ct, Glenview, IL 60025","3,236", No, 4, 4, 4,,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 87.2% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1032-Ironwood-Ct-Glenview-IL-60025/245567669_zpid/
281,Townhouse,1974,"Forced air, Gas",Central,2 spaces,,No Data,,"$449,500","1732 Wildberry Dr UNIT F, Glenview, IL 60025",, No, 3, 3, 2, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 2.7% lower (↓) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1732-Wildberry-Dr-UNIT-F-Glenview-IL-60025/2077713794_zpid/
282,Single Family,1957,Forced air,Central,2 spaces,,"9,960 sqft",$398,"$850,000","906 Lenox Rd, Glenview, IL 60025","2,133", No, 4, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will fall 3.6% (↓) in the next year.This home is valued 83.9% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/906-Lenox-Rd-Glenview-IL-60025/3356595_zpid/
283,Single Family,1973,"Forced air, Gas",Central,2 spaces,,"10,162 sqft",$239,"$598,000","4007 Miller Dr, Glenview, IL 60026","2,498", No, 4, 3, 2, 1,"Home values in 60026 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60026 will decrease 2.8% (↓) in the next year.This home is valued 1.1% higher (↑) than the median home in 60026.The median Zestimate® for this neighborhood is $591,722.",https://www.zillow.com/homedetails/4007-Miller-Dr-Glenview-IL-60026/3342564_zpid/
284,Single Family,1979,Baseboard,Central,2 spaces,,0.25 Acres,$274,"$574,500","1435 Woodlawn Ave, Glenview, IL 60025","2,100", No, 4, 4, 3, 1,"Home values in 60025 have fallen 3.1 % (↓) over the past 12 months.Zillow predicts the home values in 60025 will decrease 3.6% (↓) in the next year.This home is valued 24.3% higher (↑) than the median home in 60025.The median Zestimate® for this neighborhood is $462,196.",https://www.zillow.com/homedetails/1435-Woodlawn-Ave-Glenview-IL-60025/3348295_zpid/
