,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Half bathrooms,HOA
59,Single Family,2018,No Data,No Data,2 spaces,"3,049 sqft",$152,"$355,000","6827 W Pomona Ct, West Jordan, UT 84081","2,334", No, 3, 3, 2,"Home values in 84081 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84081 will increase 5.1% (↑) in the next year.This home is valued 8% lower (↓) than the median home in 84081.The median Zestimate® for this neighborhood is $385,804.",https://www.zillow.com/homedetails/6827-W-Pomona-Ct-West-Jordan-UT-84081/2077548827_zpid/, 1,
60,Condo,2010,No Data,No Data,1 space,,$200,"$199,900","10367 S Oquirrh Lake Rd W #108, South Jordan, UT 84009","1,000", No, 2, 2, 1,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will increase 3.6% (↑) in the next year.This home is valued 53.4% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/homedetails/10367-S-Oquirrh-Lake-Rd-W-108-South-Jordan-UT-84009/2077548826_zpid/, 1,$493/mo
61,Single Family,1991,Other,Central,2 spaces,0.27 Acres,$129,"$450,000","3210 W 8475 S, West Jordan, UT 84088","3,497", No, 4, 3, 3,"Home values in 84088 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84088 will rise 5.2% (↑) in the next year.This home is valued 18.8% higher (↑) than the median home in 84088.The median Zestimate® for this neighborhood is $378,893.",https://www.zillow.com/homedetails/3210-W-8475-S-West-Jordan-UT-84088/12845245_zpid/,,
62,Mobile / Manufactured,1991,No Data,No Data,2 spaces,,$81,"$74,900","4600 S Yarrow Ln #76, Salt Lake City, UT 84123",920, No, 3, 2, 2,"Home values in 84123 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84123 will rise 6% (↑) in the next year.This home is valued 79% lower (↓) than the median home in 84123.The median Zestimate® for this neighborhood is $357,346.",https://www.zillow.com/homedetails/4600-S-Yarrow-Ln-76-Salt-Lake-City-UT-84123/2077548870_zpid/,,
63,Single Family,2019,No Data,No Data,2 spaces,"3,049 sqft",$146,"$375,000","-- West Jordan, UT 84081","2,577", No, 4, 3, 2,"Home values in 84081 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84081 will increase 5.1% (↑) in the next year.This home is valued 2.8% lower (↓) than the median home in 84081.The median Zestimate® for this neighborhood is $385,804.",https://www.zillow.com/homedetails/West-Jordan-UT-84081/2079111571_zpid/, 1,
64,Single Family,1960,No Data,No Data,2 spaces,0.26 Acres,$199,"$619,900","2770 S Sonnet Dr, Salt Lake City, UT 84106","3,118", No, 4, 3, 3,"Home values in Sugar House have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Sugar House will rise 4.5% (↑) in the next year.This home is valued 32.4% higher (↑) than the median home in Sugar House.The median Zestimate® for this neighborhood is $468,204.",https://www.zillow.com/homedetails/2770-S-Sonnet-Dr-Salt-Lake-City-UT-84106/2077548882_zpid/,,
65,Multiple Occupancy,2004,Forced air,Other,2 spaces,,$134,"$325,000","13281 S Cedar Park Dr, Herriman, UT 84096","2,433", No, 3, 3, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will rise 3.6% (↑) in the next year.This home is valued 25.8% lower (↓) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/13281-S-Cedar-Park-Dr-Herriman-UT-84096/83825752_zpid/, 1,
66,Single Family,1983,Other,Central,2 spaces,0.28 Acres,$169,"$399,000","3905 W 7965 S, West Jordan, UT 84088","2,364", No, 5, 2, 2,"Home values in 84088 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84088 will rise 5.2% (↑) in the next year.This home is valued 5.3% higher (↑) than the median home in 84088.The median Zestimate® for this neighborhood is $378,893.",https://www.zillow.com/homedetails/3905-W-7965-S-West-Jordan-UT-84088/12844180_zpid/,,
67,Single Family,2010,Other,Central,3 spaces,"7,840 sqft",$153,"$530,000","6548 W Peacemaker Way, Herriman, UT 84096","3,468", No, 5, 3, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will increase 3.6% (↑) in the next year.This home is valued 21% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/6548-W-Peacemaker-Way-Herriman-UT-84096/111374119_zpid/, 1,
68,Single Family,1983,Other,None,1 space,"9,147 sqft",$173,"$315,000","3709 S Shotgun Cir, Magna, UT 84044","1,822", No, 4, 2, 2,"Home values in 84044 have risen 5.6 % (↑) over the past 12 months.Zillow predicts the home values in 84044 will rise 5.5% (↑) in the next year.This home is valued 11.9% higher (↑) than the median home in 84044.The median Zestimate® for this neighborhood is $281,589.",https://www.zillow.com/homedetails/3709-S-Shotgun-Cir-Magna-UT-84044/12729616_zpid/,,
69,Townhouse,2017,No Data,No Data,2 spaces,871 sqft,$216,"$319,000","13392 S Alto Vista Ln, Herriman, UT 84096","1,480", No, 3, 3, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will rise 3.6% (↑) in the next year.This home is valued 27.2% lower (↓) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/13392-S-Alto-Vista-Ln-Herriman-UT-84096/251211407_zpid/, 1,
70,Single Family,1940,Other,None,2 spaces,"6,969 sqft",$260,"$535,000","1842 E Sunnyside Ave, Salt Lake City, UT 84108","2,054", No, 3, 2, 2,"Home values in Yalecrest have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Yalecrest will rise 2.4% (↑) in the next year.This home is valued 30.9% lower (↓) than the median home in Yalecrest.The median Zestimate® for this neighborhood is $773,837.",https://www.zillow.com/homedetails/1842-E-Sunnyside-Ave-Salt-Lake-City-UT-84108/12760702_zpid/,,
71,Single Family,1940,Other,Central,2 spaces,"6,969 sqft",$375,"$795,000","1932 E Herbert Ave, Salt Lake City, UT 84108","2,122", No, 4, 2, 2,"Home values in Bonneville Hills have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Bonneville Hills will rise 4.5% (↑) in the next year.This home is valued 21.1% higher (↑) than the median home in Bonneville Hills.The median Zestimate® for this neighborhood is $656,656.",https://www.zillow.com/homedetails/1932-E-Herbert-Ave-Salt-Lake-City-UT-84108/12761827_zpid/,,
72,Townhouse,2004,No Data,No Data,2 spaces,"1,306 sqft",$222,"$329,000","14881 S Ox Cart Ln, Draper, UT 84020","1,479", No, 2, 3, 2,,https://www.zillow.com/homedetails/14881-S-Ox-Cart-Ln-Draper-UT-84020/2077552603_zpid/, 1,
73,Townhouse,2014,No Data,No Data,2 spaces,"1,742 sqft",$170,"$375,000","4899 W South Jordan Pkwy, South Jordan, UT 84009","2,206", No, 3, 3, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will increase 3.6% (↑) in the next year.This home is valued 12.6% lower (↓) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/homedetails/4899-W-South-Jordan-Pkwy-South-Jordan-UT-84009/145606734_zpid/, 1,
74,Single Family,1976,Other,Central,2 spaces,"9,583 sqft",$170,"$399,900","6964 S 2160 W, West Jordan, UT 84084","2,352", No, 5, 2, 2,"Home values in 84084 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84084 will rise 5.5% (↑) in the next year.This home is valued 16.8% higher (↑) than the median home in 84084.The median Zestimate® for this neighborhood is $342,321.",https://www.zillow.com/homedetails/6964-S-2160-W-West-Jordan-UT-84084/12837305_zpid/,,
75,Single Family,2020,No Data,No Data,1 space,No Data,$184,"$482,990","Buildable plan: Bryce, Spring House Village At Daybreak, South Jordan, UT 84009",, Yes, 2, 5, 4,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will rise 3.6% (↑) in the next year.This home is valued 12.6% higher (↑) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/community/spring-house-village-at-daybreak/2078070153_zpid/, 1,
76,Single Family,2020,No Data,No Data,2 spaces,No Data,$179,"$465,950","Buildable plan: Coronado, Jackson, Herriman, UT 84096",, Yes, 3, 3, 2,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will rise 3.6% (↑) in the next year.This home is valued 6.4% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/community/jackson/2078676956_zpid/, 1,
77,,,,,,,,"$670,995","Lot #0074, Canyon Point at Traverse Mountain - The Summit Collection, Lehi, UT 84043",, Yes, 4, 3, 3,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will increase 4.9% (↑) in the next year.This home is valued 71% higher (↑) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/community/canyon-point-at-traverse-mountain-summit-collection/2077873214_zpid/,,
78,Single Family,2020,No Data,No Data,3 spaces,"9,147 sqft",$144,"$540,000","5444 N Meadow Lark Ln, Lehi, UT 84043","3,749", No, 3, 3, 2,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will increase 4.9% (↑) in the next year.This home is valued 37.6% higher (↑) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/homedetails/5444-N-Meadow-Lark-Ln-Lehi-UT-84043/306586794_zpid/, 1,
79,Townhouse,2007,Other,Central,No Data,871 sqft,$159,"$364,900","13639 S Mount Cortina Way, Riverton, UT 84065","2,302", No, 3,,,"Home values in Riverton have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84065 will increase 4.1% (↑) in the next year.This home is valued 15.2% lower (↓) than the median home in 84065.The median Zestimate® for this neighborhood is $430,414.",https://www.zillow.com/homedetails/13639-S-Mount-Cortina-Way-Riverton-UT-84065/72629590_zpid/,,
80,Single Family,2020,No Data,No Data,2 spaces,No Data,$198,"$847,900","Buildable plan: Brookhaven, Daybreak, South Jordan, UT 84009",, Yes, 4, 3, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will increase 3.6% (↑) in the next year.This home is valued 97.7% higher (↑) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/community/daybreak/2077553147_zpid/, 1,
81,Single Family,2020,No Data,No Data,2 spaces,No Data,$190,"$873,900","Buildable plan: Southampton, Daybreak, South Jordan, UT 84009",, Yes, 3, 3, 2,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will rise 3.6% (↑) in the next year.This home is valued 103.8% higher (↑) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/community/daybreak/2077553146_zpid/, 1,
82,Single Family,1998,Other,Central,2 spaces,0.35 Acres,$160,"$450,000","11667 S Golden Wheat Cv, South Jordan, UT 84009","2,813", No, 5, 3, 3,"Home values in 84009 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84009 will rise 3.6% (↑) in the next year.This home is valued 4.9% higher (↑) than the median home in 84009.The median Zestimate® for this neighborhood is $428,858.",https://www.zillow.com/homedetails/11667-S-Golden-Wheat-Cv-South-Jordan-UT-84009/69815121_zpid/,,
83,Townhouse,1978,"Forced air, Gas",Central,2 spaces,435 sqft,$213,"$230,000","8732 S 620 E, Sandy, UT 84070","1,080", No, 2, 2, 1,"Home values in 84070 have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84070 will rise 5.3% (↑) in the next year.This home is valued 35.2% lower (↓) than the median home in 84070.The median Zestimate® for this neighborhood is $355,188.",https://www.zillow.com/homedetails/8732-S-620-E-Sandy-UT-84070/12912843_zpid/, 1,
84,Single Family,1977,Other,None,2 spaces,"8,712 sqft",$186,"$290,000","4579 S Trojan Dr, West Valley, UT 84120","1,560", No, 4, 2, 1,"Home values in 84120 have risen 5.8 % (↑) over the past 12 months.Zillow predicts the home values in West Point will increase 5.7% (↑) in the next year.This home is valued 5.3% lower (↓) than the median home in West Point.The median Zestimate® for this neighborhood is $306,114.",https://www.zillow.com/homedetails/4579-S-Trojan-Dr-West-Valley-UT-84120/12799142_zpid/, 1,
85,Single Family,2008,"Forced air, Radiant, Electric, Gas",Central,6 spaces,1.48 Acres,$606,"$6,000,000","4141 Canyon Estate Dr, Salt Lake City, UT 84121","9,900", Yes, 5, 5,,,https://www.zillow.com/homedetails/4141-Canyon-Estate-Dr-Salt-Lake-City-UT-84121/2098498501_zpid/,,
86,Single Family,2020,No Data,No Data,3 spaces,"9,147 sqft",$176,"$577,300","2943 N 3550 W, Lehi, UT 84043","3,277", Yes, 4, 3, 2,"Home values in 84043 have risen 4.9 % (↑) over the past 12 months.Zillow predicts the home values in 84043 will increase 4.9% (↑) in the next year.This home is valued 47.2% higher (↑) than the median home in 84043.The median Zestimate® for this neighborhood is $392,315.",https://www.zillow.com/homedetails/2943-N-3550-W-Lehi-UT-84043/2078107050_zpid/, 1,
87,Single Family,2017,No Data,No Data,6 spaces,0.37 Acres,$199,"$1,299,000","2967 W Jacks Estate Ct, South Jordan, UT 84095","6,520", No, 4, 1, 1,"Home values in 84095 have risen 3.3 % (↑) over the past 12 months.Zillow predicts the home values in 84095 will increase 3.7% (↑) in the next year.This home is valued 149.7% higher (↑) than the median home in 84095.The median Zestimate® for this neighborhood is $520,177.",https://www.zillow.com/homedetails/2967-W-Jacks-Estate-Ct-South-Jordan-UT-84095/248886101_zpid/,,
88,Townhouse,2008,Forced air,Other,1 space,"1,306 sqft",$296,"$299,900","661 E Long Shadow Dr, Draper, UT 84020","1,013", No, 2, 2, 2,,https://www.zillow.com/homedetails/661-E-Long-Shadow-Dr-Draper-UT-84020/69724118_zpid/,,
89,Single Family,2004,Other,Central,2 spaces,"7,840 sqft",$120,"$499,000","13903 S Travis Boyd Cir, Herriman, UT 84096","4,158", No, 6, 4, 3,"Home values in 84096 have risen 3.4 % (↑) over the past 12 months.Zillow predicts the home values in 84096 will increase 3.6% (↑) in the next year.This home is valued 14% higher (↑) than the median home in 84096.The median Zestimate® for this neighborhood is $437,903.",https://www.zillow.com/homedetails/13903-S-Travis-Boyd-Cir-Herriman-UT-84096/63127405_zpid/, 1,
90,Single Family,1994,No Data,No Data,2 spaces,0.68 Acres,$186,"$569,000","12189 S 3040 W, Riverton, UT 84065","3,063", No, 4, 3, 2,"Home values in Riverton have risen 4.7 % (↑) over the past 12 months.Zillow predicts the home values in 84065 will increase 4.1% (↑) in the next year.This home is valued 32.2% higher (↑) than the median home in 84065.The median Zestimate® for this neighborhood is $430,414.",https://www.zillow.com/homedetails/12189-S-3040-W-Riverton-UT-84065/2077553731_zpid/, 1,
91,Single Family,1973,Other,None,1 space,"6,534 sqft",$203,"$289,900","8542 S Susan Way, West Jordan, UT 84088","1,428", No, 3, 2, 2,"Home values in 84088 have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in 84088 will increase 5.2% (↑) in the next year.This home is valued 23.5% lower (↓) than the median home in 84088.The median Zestimate® for this neighborhood is $378,893.",https://www.zillow.com/homedetails/8542-S-Susan-Way-West-Jordan-UT-84088/12844963_zpid/,,
92,Single Family,1940,"Forced air, Gas",Central,2 spaces,"6,534 sqft",$299,"$619,000","1875 E 900 S, Salt Lake City, UT 84108","2,068", No, 3, 2, 2,"Home values in Yalecrest have risen 5.3 % (↑) over the past 12 months.Zillow predicts the home values in Yalecrest will increase 2.4% (↑) in the next year.This home is valued 20% lower (↓) than the median home in Yalecrest.The median Zestimate® for this neighborhood is $773,837.",https://www.zillow.com/homedetails/1875-E-900-S-Salt-Lake-City-UT-84108/12760717_zpid/,,
