,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,neighborhood_stats,URL,HOA,Status
55,Single Family,1978,"Forced air, Gas",Central,2 spaces,0.45 Acres,$118,"$425,000","10S136 Alago Rd, Naperville, IL 60564","3,587", No, 4, 3, 3,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 1.5% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/10S136-Alago-Rd-Naperville-IL-60564/5365680_zpid/,,For Sale
56,Single Family,1984,Forced air,Central,1 space,"6,534 sqft",$206,"$250,000","542 Springhill Cir, Naperville, IL 60563","1,213", No, 3, 1, 1,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Spring Hill will increase 0.9% (↑) in the next year.This home is valued 22.2% lower (↓) than the median home in Spring Hill.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/542-Springhill-Cir-Naperville-IL-60563/4535331_zpid/,,For Sale
57,Single Family,1969,"Forced air, Gas",Central,7 spaces,0.31 Acres,$208,"$289,000","26W260 Case St, Naperville, IL 60563","1,388", No, 3, 2, 2,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ogden Highlands will increase 0.9% (↑) in the next year.This home is valued 10.1% lower (↓) than the median home in Ogden Highlands.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/26W260-Case-St-Naperville-IL-60563/4527141_zpid/,,For Sale
58,Single Family,2020,Forced air,Central,3 spaces,No Data,$289,"$880,454","Buildable plan: The Sugarberry, DJK Custom Homes of Downtown Naperville, Naperville, IL 60540",, Yes, 4, 4, 3, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 113.1% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/community/djk-custom-homes-of-downtown-naperville/2080097687_zpid/,,For Sale
59,Single Family,1971,Forced air,Central,2 spaces,"10,066 sqft",$200,"$344,900","1345 Fir Ct, Naperville, IL 60540","1,727", No, 3, 2, 2,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Wil-O-Way Park will rise 1.3% (↑) in the next year.This home is valued 16.5% lower (↓) than the median home in Wil-O-Way Park.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1345-Fir-Ct-Naperville-IL-60540/4507545_zpid/,None,For Sale
60,Single Family,2000,Forced air,Central,2 spaces,"9,514 sqft",$163,"$425,000","2059 Maplewood Cir, Naperville, IL 60563","2,614", No, 4, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Country Lakes will rise 0.9% (↑) in the next year.This home is valued 32.2% higher (↑) than the median home in Country Lakes.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/2059-Maplewood-Cir-Naperville-IL-60563/4502143_zpid/,None,For Sale
61,Single Family,1986,"Forced air, Gas",Central,2 spaces,0.30 Acres,$170,"$530,000","1007 Shimer Ct, Naperville, IL 60565","3,112", No, 5, 3, 3,,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in University Heights will rise 1.2% (↑) in the next year.This home is valued 33.7% higher (↑) than the median home in University Heights.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1007-Shimer-Ct-Naperville-IL-60565/5395565_zpid/,,For Sale
62,Condo,2004,"Forced air, Gas",Central,2 spaces,,$216,"$625,000","1590 Everwood Rd, Naperville, IL 60540","2,894", No, 4, 4, 3, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 51.2% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1590-Everwood-Rd-Naperville-IL-60540/64878493_zpid/,$315/mo,For Sale
63,Single Family,2006,Forced air,Central,3 spaces,0.25 acres,$208,"$1,940,000","330 W Douglas Ave, Naperville, IL 60540","9,326", No, 6, 8, 6, 2,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 369.4% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/330-W-Douglas-Ave-Naperville-IL-60540/2077735823_zpid/,,For Sale
64,Condo,1996,Gas,Central,Attached Garage,,$163,"$245,000","2610 Idaho Rd, Naperville, IL 60564","1,502", No, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Woodlake will rise 0.7% (↑) in the next year.This home is valued 43.2% lower (↓) than the median home in Woodlake.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2610-Idaho-Rd-Naperville-IL-60564/5367382_zpid/,$14/month,For Sale
65,Single Family,1980,Gas,Central,2 spaces,0.27 Acres,$180,"$430,000","1326 Deep Run Rd, Naperville, IL 60540","2,387", No, 4, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Huntington Hill will increase 1.3% (↑) in the next year.This home is valued 4.1% higher (↑) than the median home in Huntington Hill.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1326-Deep-Run-Rd-Naperville-IL-60540/4539136_zpid/,,For Sale
66,Single Family,1976,"Forced air, Electric, Gas",Central,2 spaces,0.25 Acres,$198,"$450,000","1505 Wedgefield Cir, Naperville, IL 60563","2,278", No, 3, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Cress Creek will rise 0.9% (↑) in the next year.This home is valued 40% higher (↑) than the median home in Cress Creek.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1505-Wedgefield-Cir-Naperville-IL-60563/4504265_zpid/,,For Sale
67,Single Family,No Data,No Data,No Data,3 spaces,No Data,$158,"$520,990","Buildable plan: Westchester, Wagner Farms, Naperville, IL 60564",, Yes, 4, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 20.8% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/wagner-farms/2083326193_zpid/,,For Sale
68,Single Family,1970,Forced air,Central,Attached Garage,0.5 acres,,"$445,173","1532 Blackberry Ct, Naperville, IL 60565","3,456", No, 4, 3, 3,,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will rise 1.2% (↑) in the next year.This home is valued 12.3% higher (↑) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1532-Blackberry-Ct-Naperville-IL-60565/5393945_zpid/,,For Sale
69,Single Family,1989,"Forced air, Gas",Central,2 spaces,0.33 Acres,$153,"$540,000","2430 River Woods Dr, Naperville, IL 60565","3,526", No, 4, 4, 3, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in River Woods will rise 1.2% (↑) in the next year.This home is valued 36.3% higher (↑) than the median home in River Woods.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/2430-River-Woods-Dr-Naperville-IL-60565/112104054_zpid/,,For Sale
70,Single Family,1997,"Forced air, Gas",Central,3 spaces,No Data,$166,"$635,000","1707 Robert Ln, Naperville, IL 60564","3,836", No, 4, 4, 3, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in River Run will rise 0.7% (↑) in the next year.This home is valued 47.2% higher (↑) than the median home in River Run.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/1707-Robert-Ln-Naperville-IL-60564/5372249_zpid/,,For Sale
71,Condo,1986,"Forced air, Gas",Central,1 space,,$163,"$175,000","1539 Raymond Dr APT 104, Naperville, IL 60563","1,072", No, 3, 2, 2,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 45.6% lower (↓) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1539-Raymond-Dr-APT-104-Naperville-IL-60563/72582685_zpid/,$353/mo,For Sale
72,Single Family,2020,Forced air,Central,3 spaces,No Data,$293,"$860,500","Buildable plan: The Parker III, DJK Custom Homes of Downtown Naperville, Naperville, IL 60540",, Yes, 4, 4, 3, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 108.2% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/community/djk-custom-homes-of-downtown-naperville/2079638316_zpid/,,For Sale
73,Single Family,1984,Other,Central,2 spaces,"10,454 sqft",$170,"$399,900","1317 Fieldstone Ct, Naperville, IL 60564","2,359", No, 4, 4, 3, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Brook Crossings will rise 0.7% (↑) in the next year.This home is valued 7.3% lower (↓) than the median home in Brook Crossings.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/1317-Fieldstone-Ct-Naperville-IL-60564/5366574_zpid/,None,For Sale
74,Single Family,2011,Gas,Central,3 spaces,0.30 Acres,$201,"$879,000","4240 Chaparral Dr, Naperville, IL 60564","4,367", No, 4, 5, 4, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Park will rise 0.7% (↑) in the next year.This home is valued 103.8% higher (↑) than the median home in Ashwood Park.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4240-Chaparral-Dr-Naperville-IL-60564/68160199_zpid/,,For Sale
75,Condo,2002,Forced air,Central,2 spaces,,$166,"$348,998","838 Shandrew Dr #0, Naperville, IL 60540","2,097", No, 3, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 15.5% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/838-Shandrew-Dr-0-Naperville-IL-60540/2077762102_zpid/,$345/month,For Sale
76,Single Family,1966,"Forced air, Gas",Central,2 spaces,2.35 Acres,$164,"$400,000","23W545 James Way, Naperville, IL 60540","2,436", No, 4, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 3.2% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/23W545-James-Way-Naperville-IL-60540/4546662_zpid/,,For Sale
77,Townhouse,1994,Forced air,Central,1 space,"2,178 sqft",$166,"$215,000","1280 Arapaho Ct, Naperville, IL 60540","1,298", No, 2, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 48% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1280-Arapaho-Ct-Naperville-IL-60540/4515119_zpid/,$225/month,For Sale
78,Single Family,2016,Forced air,Central,3 spaces,1 acre,$198,"$560,000","1524 Alderleaf Ct, Naperville, IL 60563","2,830", No, 4, 3, 2, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Country Lakes will rise 0.9% (↑) in the next year.This home is valued 74.2% higher (↑) than the median home in Country Lakes.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1524-Alderleaf-Ct-Naperville-IL-60563/171909825_zpid/,$75/month,For Sale
79,Single Family,1976,Forced air,Central,2 spaces,0.31 acres,$193,"$599,000","820 Jaipur St, Naperville, IL 60540","3,100", No, 5, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Hobson Village will rise 1.3% (↑) in the next year.This home is valued 44.9% higher (↑) than the median home in Hobson Village.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/820-Jaipur-St-Naperville-IL-60540/4539343_zpid/,$12/month,For Sale
80,Single Family,2011,Other,Central,3 spaces,0.3 acres,$184,"$799,900","4059 Teak Cir, Naperville, IL 60564","4,352", No, 5, 6, 5, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Park will rise 0.7% (↑) in the next year.This home is valued 85.5% higher (↑) than the median home in Ashwood Park.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4059-Teak-Cir-Naperville-IL-60564/68160158_zpid/,$121/month,For Sale
81,Townhouse,1978,Forced air,Central,1 space,"2,178 sqft",$144,"$209,900","5S014 Spyglass Ct, Naperville, IL 60563","1,462", No, 2, 2, 1, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Country Lakes will increase 0.9% (↑) in the next year.This home is valued 34.7% lower (↓) than the median home in Country Lakes.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/5S014-Spyglass-Ct-Naperville-IL-60563/4501232_zpid/,,For Sale
82,Single Family,1994,Gas,Central,3 spaces,0.29 acres,$183,"$549,000","3657 Monarch Cir, Naperville, IL 60564","3,001", No, 4, 4, 3, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in White Eagle Club will rise 0.7% (↑) in the next year.This home is valued 27.3% higher (↑) than the median home in White Eagle Club.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/3657-Monarch-Cir-Naperville-IL-60564/4521777_zpid/,$86/month,For Sale
83,Single Family,1925,"Forced air, Gas",Central,3 spaces,"7,405 sqft",$323,"$1,449,000","121 N Julian St, Naperville, IL 60540","4,480", Yes, 5, 8, 7, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 250.6% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/121-N-Julian-St-Naperville-IL-60540/4537121_zpid/,,For Sale
84,Single Family,1989,Forced air,Central,3 spaces,0.71 acres,$154,"$499,900","24049 Ascot Ct, Naperville, IL 60564","3,250", No, 4, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Tamarack will increase 0.7% (↑) in the next year.This home is valued 15.9% higher (↑) than the median home in Tamarack.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/24049-Ascot-Ct-Naperville-IL-60564/5374030_zpid/,$8/month,For Sale
